destination_name,author,rating,review_date,review_text,scraped_at,review_id,has_text,cleaned_text,sentiment_label,predicted_label,predicted_sentiment
Taman Wisata Alam Gn Papandayan,Savira Sabila,5.0,3 minggu lalu,Bagus banget,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2pSR00wNW9kemRCYjAxTlkzQnJZM0JCTVRscGVVRRAB,True,bagus,2,2,Positive
Taman Wisata Alam Gn Papandayan,Edi Sutoro,5.0,3 minggu lalu,"Taman Wisata Alam Gunung Papandayan, garut, yang pertama harus disiapkan jika kesini, harus memakai jaket, dingin, apalagi kita yang dari luar kota, dari cuaca panas ke cuaca dingin seperti ini, jadi penggunaan jaket seharusnya dilakukan, kecuali memang fisik anda kuat menahan dinginnya daerah ini.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25sdmVsVkdhM2RoYXpadlNYazRSMG94VTBaa2EwRRAB,True,taman alam gunung papandayan siap kesini pakai jaket dingin kota cuaca panas cuaca dingin guna jaket kecuali fisik kuat tahan dingin daerah,2,2,Positive
Taman Wisata Alam Gn Papandayan,Medifa Kusuma,5.0,3 minggu lalu,"trekking paling worth it, medannya seru dapet byk experience, mostly bertangga dan lumayan gersang klo siang terik bgt tp udaranya msh fresh",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2pOMFdIaGZSa3BqVldaaVExaG1NM2xXVm0xSlgwRRAB,True,trekking worth it medan seru dapet byk experience mostly tangga lumayan gersang klo siang terik tp udara msh fresh,2,2,Positive
Taman Wisata Alam Gn Papandayan,Manik Asa,5.0,4 minggu lalu,"Libur lebaran sengaja pergi ke Garut karena ingin hiking Gunung Papandayan tanpa camping di atas. Alhamdulillah kesampaian juga karena sudah lama penasaran dengan hutan matinya. Gunung Papandayan ternyata ramah untuk pendaki pemula, terlihat banyak pengunjung dari kalangan anak-anak sampai orang tua. Bagi yang tidak kuat nanjak tapi tetap ingin melihat pemandangan di atas, bisa juga naik ojek gunung. Penunjuk track jelas, tersedia toilet yang bersih di setiap posnya, warung juga banyak. Seru banget, naik pas dapet cuaca cerah lagi, langitnya biru banget. Pengunjung ramai tapi masih berjarak tidak sampai desak-desakan meskipun sedang momen libur lebaran. Cantik banget pemandangannya, hiking dimulai melewati kawah aktif, lalu ke hutan mati, lanjut padang edelweiss. Ga nyesel deh liburan ke Garut👍.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21FMVZtcHhNRFkwVDE5elF6RldkVXRtUlV4RWVVRRAB,True,libur lebaran sengaja pergi hiking gunung papandayan camping alhamdulillah penasaran hutan mati gunung papandayan ramah daki mula unjung kalang anak anak orang tua kuat nanjak pandang ojek gunung tunjuk track sedia toilet bersih pos warung seru pas dapet cuaca cerah langit biru unjung ramai jarak desak desa momen libur lebaran cantik pandang hiking lewat kawah aktif hutan mati padang edelweiss nyesel libur,2,2,Positive
Taman Wisata Alam Gn Papandayan,Aditya Pramudhita,5.0,4 minggu lalu,"Ramai, seru, lain kali datang di hari kerja.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2psRGNURkplRUZKZFVKalNGWlNURzlFY3pSTVRWRRAB,True,ramai seru kali kerja,2,2,Positive
Taman Wisata Alam Gn Papandayan,Kamalludin Akma,5.0,4 minggu lalu,"Kurang asri seperti dulu, kalau bisa pedagang di area camp ditiadakan dan tidak ada lagi ojek gunung buat menjaga ke asrian gunung",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21KYVZGcGtRVFZ6U0ZKa1MxOXBZVGxqTldOaVFXYxAB,True,asri dagang area camp tiada ojek gunung jaga asri gunung,2,2,Positive
Taman Wisata Alam Gn Papandayan,Iwan Bonscu,5.0,Diedit 4 minggu lalu,Masih JD tempat vaforit,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xsWFpWcExlbUV3VjBGc1RUTndTVFZOTmt4cVNrRRAB,True,jd vaforit,2,2,Positive
Taman Wisata Alam Gn Papandayan,Deon Myusuf,5.0,sebulan lalu,"Seru, enak air panasnya, dan indah pemandangannya",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25ReWJFTkxWbnB0WmxKclluY3lRbWxNWkVoTE5sRRAB,True,seru enak air panas indah pandang,2,2,Positive
Taman Wisata Alam Gn Papandayan,Indrio Purnomo,5.0,sebulan lalu,Adem. Dan tempat istirahat saya sekeluarga.,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xkMmJVaFRUMVZCT1dSelUwVTRjakZITjA1RGRHYxAB,True,adem istirahat keluarga,2,2,Positive
Taman Wisata Alam Gn Papandayan,Adie Chodrat,5.0,sebulan lalu,Paketan nya lengkap.. Harga sesuai.. 👍👍👍,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21SalgzbHhlV1UxVEZKclNYUkpVazV4ZUdkamIxRRAB,True,paket nya lengkap harga sesuai,2,2,Positive
Taman Wisata Alam Gn Papandayan,Seno Sensen,5.0,sebulan lalu,Mantap luar biasa,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2s5M05qaHBUVFZuTUdVME5XTm5TRUpqUTFOTmRXYxAB,True,mantap,2,2,Positive
Taman Wisata Alam Gn Papandayan,Sundari Rakhman,5.0,sebulan lalu,Tracknya cocok untuk pemula,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2t0QmRIZENNMVIwWWtKWFZHZHBWbGhJTTJoVVVVRRAB,True,tracknya cocok mula,2,2,Positive
Taman Wisata Alam Gn Papandayan,It's me lia tango,5.0,sebulan lalu,"Perdana trekking di Indonesia, pertama trekking di Negara Orang itu pun kombinasi naik konveyor😂 Ternyata seseru itu yaa Trekking gunung, papandayan pula... nice view even the best ever... karena ini perdana jadi aku excited banget, di pos ke lima kita udah dapat pemandangan yang bagus, naik terus keatas ada hutan mati, menurut aku disini viewnya tuh cakep banget, sangat aman buat anak-anak, aku pake pemandu yang orangnya baik dan sangat komunikatif, ramah... dia bantu kita ambil foto-foto selama trekking ini, buat yang lagi rencanain mau naik gunung ke papandayan perdana, aku rekomendasiin pake jasa pemandu namanya Bolang, jadi berasa kaya udah jadi warga lokal deh pengalaman perdananya, disana juga ada sewa jasa ojek buat yang kecapean😁 harga tiket masuk gak mahal kok, sewa tracking hold (tongkat penyanggah) juga hanya 15 ribu rupiah aja, cobain deh! seru! *English vertion* first trekking in another country, it was also a combination of riding a conveyor😂 It turns out that mountain trekking is that exciting, Papandayan too... nice view even the best ever... because this is the first time so I'm really excited, at the fifth post we already got a nice view, going up and up there is a dead forest, in my opinion the view here is really beautiful, very safe for children, I used a guide who is a good person and very communicative, friendly... he helped us take photos during this trekking, for those who are planning to climb the mountain to Papandayan, I recommend using the services of a guide named Bolang, so you feel like you've become a local for your first experience, there are also motorcycle taxi rental services for those who are tired😁 the entrance ticket price is not expensive, renting a tracking hold (support stick) is also only 15 thousand rupiah, try it! fun!",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xJNVJFOUtSalZDTVU1V2NWUmllamRtUVZWZldtYxAB,True,perdana trekking indonesia trekking negara orang kombinasi konveyor seru yaa trekking gunung papandayan nice view even the best ever perdana excited pos udah pandang bagus atas hutan mati viewnya cakep aman anak anak pake pandu orang komunikatif ramah bantu ambil foto foto trekking rencanain gunung papandayan perdana rekomendasiin pake jasa pandu nama bolang asa kaya udah warga lokal alam perdana sana sewa jasa ojek cape harga tiket masuk mahal sewa tracking hold tongkat sanggah 15 ribu rupiah cobain seru english vertion first trekking in another country it was also a combination of riding a conveyor it turns out that mountain trekking is that exciting papandayan too nice view even the best ever because this is the first time so i m really excited at the fifth post we already got a nice view going up and up there is a dead forest in my opinion the view here is really beautiful very safe for children i used a guide who is a good person and very communicative friendly he helped us take photos during this trekking for those who are planning to climb the mountain to papandayan i recommend using the services of a guide named bolang so you feel like you ve become a local for your first experience there are also motorcycle taxi rental services for those who are tired the entrance ticket price is not expensive renting a tracking hold support stick is also only 15 thousand rupiah try it fun,2,2,Positive
Taman Wisata Alam Gn Papandayan,Fadilah Arsyad,5.0,sebulan lalu,"Sangat takjub dengan view yangs sagat luar biasa, dibalik musibah letusan berabad abad lalu tercipta view yang luar biasa seperti sekarang.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tkTmJVRnJSRU14VVdkSVgwMDBNbVZHUldOdWVsRRAB,True,takjub view yangs sagat balik musibah letus abad abad cipta view,2,2,Positive
Taman Wisata Alam Gn Papandayan,Luk,5.0,sebulan lalu,Seru mantab asik,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xCUWVuUmhOV3RUYnpsTlNrRTJVRXRoTVVOb1pVRRAB,True,seru mantab asik,2,2,Positive
Taman Wisata Alam Gn Papandayan,Yudhi H.W,5.0,sebulan lalu,"Asik tpt nya, tanjakan nya mantab 😁",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21WaVRFUTVaRGRCYUVaRFZESlNOakJMVlhoTmNIYxAB,True,asik tpt nya tanjak nya mantab,2,2,Positive
Taman Wisata Alam Gn Papandayan,Nurcahyo Rokayanto,4.0,sebulan lalu,"Buagusssss tempatnya, Ramah warganya, cuma mesti hati² sama babi hutan nya",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25OVGJIVnBTSFZ3TlV0MFpHdG5kME5hYkc4M1ZGRRAB,True,buagusssss tempat ramah warga mesti hati babi hutan nya,2,2,Positive
Taman Wisata Alam Gn Papandayan,Tiara R,3.0,sebulan lalu,"Seramai yang mereka katakan. Namun, keramaian bukanlah penyebab stres terbesar; melainkan sepeda motor. Anda tidak hanya akan mencium bau belerang di udara, tetapi juga karbon monoksida dan unsur-unsur lain dari sepeda motor tersebut. Jalurnya mudah diikuti, tetapi berhati-hatilah karena jalan untuk pejalan kaki dan pengendara sepeda motor benar-benar berdampingan; terkadang Anda tidak akan bisa membedakannya dan berisiko tertabrak; sungguh, saat saya di sana, seseorang hampir tertabrak. Banyak anjing, tetapi mereka sangat ramah. Toilet: bersiaplah untuk antrean. Tersedia juga di Pondok Saladah. Toiletnya bersih dengan air mengalir. Jalur: didominasi oleh bebatuan, dan beberapa di antaranya lepas. Makanan: banyak makanan tersedia, Anda akan baik-baik saja tanpa camilan.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tSd1NVRnRZVXhaV0VkMWNUQTFaSFJDWjBSdWJuYxAB,True,serama ramai sebab stres besar sepeda motor cium bau belerang udara karbon monoksida unsur unsur sepeda motor jalur mudah ikut hati hati jalan pejal kaki kendara sepeda motor damping terkadang beda risiko tabrak sungguh tabrak anjing ramah toilet siap antre sedia pondok saladah toilet bersih air alir jalur dominasi bebatuan lepas makan makan sedia camil,1,2,Positive
Taman Wisata Alam Gn Papandayan,Hilmi Arip Rahman,5.0,sebulan lalu,"enak udaranya dingin & segar cocok nih buat yang mau wisata, jauh dari sosial media dan teknologi, karena di atas minim sinyal, kekurangannya kalo weekend penuh wc nya antri.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25jM1EyWnVTVXB2VEdJdGJHeFJjVm90U2prNU4yYxAB,True,enak udara dingin segar cocok nih sosial media teknologi minim sinyal kurang weekend penuh wc nya antri,2,2,Positive
Taman Wisata Alam Gn Papandayan,Annisa Ade Rahmayanti,5.0,sebulan lalu,penuh tapi pemandangan bagus bgttt,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2poRFQyUmtRM2ROWkRCU2EyaFNUbWhOU25vMlpVRRAB,True,penuh pandang bagus bgttt,2,2,Positive
Taman Wisata Alam Gn Papandayan,Nina Mutmaina,5.0,sebulan lalu,"Gunung dengan trek minimal view maksimal Setiap treknya beda beda vibes dan baguuuus semua Ada tebing, ada kawah, ada hutan mati ,pohon, bunga daaaan edelweis pula 2 kali ke sini dan gak bosen",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2taaVkyVnVUbXBqTjFwSFVIVnZiVzFIZWtoVk1IYxAB,True,gunung trek minimal view maksimal trek beda beda vibes baguuuus tebing kawah hutan mati pohon bunga daaaan edelweis 2 kali bosen,2,2,Positive
Taman Wisata Alam Gn Papandayan,Shelon Chuine,5.0,sebulan lalu,Pas kesini Alhamdulillah cuacanya bgus. Sejuk bersih pemandangan bgus mengobati perjalanan. Bisa naik ojek PP 40 RB.smpai pos 6,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2pkcVpWVlpVWE55TUhsamFHMWlNVmRYTWsxME1sRRAB,True,pas kesini alhamdulillah cuaca bgus sejuk bersih pandang bgus obat jalan ojek pp 40 rb smpai pos 6,2,2,Positive
Taman Wisata Alam Gn Papandayan,Rachmat,5.0,sebulan lalu,Datang pas lagi rame tapi parkir dinatur dengan baik,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25ndE4xTkJhalkxTkZaVFIydzNNV2RCTm1Fd1ZYYxAB,True,pas rame parkir natur,2,2,Positive
Taman Wisata Alam Gn Papandayan,Aris aris,5.0,sebulan lalu,Bagus,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21KTGNtWlhkMUpuT1drMVdXczRNa05OT0haaVRHYxAB,True,bagus,2,2,Positive
Taman Wisata Alam Gn Papandayan,Cecep Sugandi,4.0,sebulan lalu,Cocok untuk liburan anak-anak. Trip sunrise tebing sony (setelah pos 6) hanya 30 mnt dari pos 3 pendaftaran/camp penginapan. Berangkat setelah sholat subuh. Tidak terlalu dingin (kecuali jam 9 malam sampai jam 04 pagi). Untuk pengelola jalan menuju parkiran di aspal ulang agar lebih mudah di lalui mobil dan lalu lintas lancar. Kondisi ini saat diposting.,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2psbmF6Rk9lRWgzVW05T1VFdG5UVTVPVlZjM0xWRRAB,True,cocok libur anak anak trip sunrise tebing sony pos 6 30 mnt pos 3 daftar camp inap berangkat sholat subuh dingin kecuali jam 9 malam jam 04 pagi kelola jalan parkir aspal ulang mudah lalu mobil lintas lancar kondisi diposting,2,2,Positive
Taman Wisata Alam Gn Papandayan,a star i,5.0,sebulan lalu,"Betah deh. Tapi nggak ada sinyal. Kalo kebelet pipis, mending naek dulu aja ke pos 5 atau 7, yang toiletnya nggak ngantri kayak yang di parkiran. Sebaiknya nyampe lokasi sebelum jam 8, biar nggak nunggu tempat parkir yang kosong. Kalo nyampe lokasi jam 10-an waktu weekend, siap-siap kena macet buat masuk parkirannya doang. Berlima, tiketnya Rp240.000. Kalo ditawarin mamang ojek buat naik ke kawah, jangan mau ama harga Rp175rb, itu kemahalan. Ada kolam renang belerang juga. Mending visit di musim kemarau. Walaupun matahari terik, tapi tetap adem, dan nggak ujan.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tkV1pqSjRVVE5IY2pFeldrSldORWRWYmxaMVZIYxAB,True,betah nggak sinyal kebelet pipis mending naek pos 5 7 toilet nggak ngantri kayak parkir nyampe jam 8 nggak nunggu parkir kosong nyampe jam 10 an weekend kena macet masuk parkir lima tiket rp240 000 ditawarin mamang ojek kawah ama harga rp175rb mahal kolam renang belerang mending visit musim kemarau matahari terik adem nggak ujan,2,2,Positive
Taman Wisata Alam Gn Papandayan,Hendro Tri Santoso,5.0,sebulan lalu,"Pemandangan di tempat ini bagus banget, fasilitas nya lengkap, ada pemandian air panas alami, taman bunga, sampai villa dan area camping",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT21oTVRIVnVMVE5LUlU1WE4xbFhXVVJwU2pjelpFRRAB,True,pandang bagus fasilitas nya lengkap mandi air panas alami taman bunga villa area camping,2,2,Positive
Taman Wisata Alam Gn Papandayan,World Traveler,5.0,sebulan lalu,"Seruuu, walaupun toiletnya sangattt antrii",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2w5amJ6YzFVREpaWlVWNlQwdFBOV0ZMUVVsbFZXYxAB,True,seruuu toilet sangattt antri,2,2,Positive
Taman Wisata Alam Gn Papandayan,Yenni Arningsih,5.0,Diedit sebulan lalu,"salah satu tempat yg harus didatangi, Susana alamnya enak, pemandangan tcakep, bisa berendam air panas belerang dengan view gunung",2026-08-13T08:31:32.966770+00:00,ChdDSUhNMG9nS0VJQ0FnSUQ1OEttVXpRRRAB,True,salah datang susana alam enak pandang tcakep rendam air panas belerang view gunung,2,2,Positive
Taman Wisata Alam Gn Papandayan,Euis Mardian,5.0,sebulan lalu,"Kesana pas libur sekolah Tempatnya bagus, orangnya ramah-ramah Untuk kolam renangnya bayar lagi, Dewasa 25.000 Anak-anak 15.000",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2pJeGNISmhUVEZqTjBjMVExa3dkazlhTTNsTmQyYxAB,True,kesana pas libur sekolah tempat bagus orang ramah ramah kolam renang bayar dewasa 25 000 anak anak 15 000,2,2,Positive
Taman Wisata Alam Gn Papandayan,oey lusiana,5.0,sebulan lalu,"Pemandangannya luar biasa dan menakjubkan. Ada banyak aktivitas seperti trekking, pemandian air panas, dan jalan-jalan. Saya suka pemandian air panasnya.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2pkUVRsTlZWSGxYT1U5MFZWbG9MV1F4VWpOR2JYYxAB,True,pandang takjub aktivitas trekking mandi air panas jalan jalan suka mandi air panas,2,2,Positive
Taman Wisata Alam Gn Papandayan,yulius shandy #soulaяtist,5.0,Diedit sebulan lalu,"Pemandangan yang indah membayar lelah fisik saat naik. Disarankan menggunakan pelembab kulit, topi atau lengan panjang, karena kalau siang panas matahari dapat membuat kulit 'terbakar'",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25GNFlrVkNSSEZyUVVGb2JHOUJPR1JVYW04ek1IYxAB,True,pandang indah bayar lelah fisik saran pelembab kulit topi lengan siang panas matahari kulit bakar,2,2,Positive
Taman Wisata Alam Gn Papandayan,muhammad raihan,5.0,sebulan lalu,"Sudah sangat rapih dibanding beberapa tahun yang lalu, fasilitas lumayan lengkap dan family friendly",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2s5WmJEZHNVMnBaWVRoMFduQjJUbDg1UjBzMFkyYxAB,True,rapih banding fasilitas lumayan lengkap family friendly,2,2,Positive
Taman Wisata Alam Gn Papandayan,RCA Skincare,5.0,sebulan lalu,"Pemandangan Alam yg sangat spektakuler indahnya,in syaa Allah aman u tua dan muda bahkan anak2,banyak tmpt jajan/warung dngn harga murah,ada tmpt berendam air panas dngn view gunung,lengkap dngn tmpt cuci,toilet dan musholla yg bersih.Harga tiket muraahh,makanan dan penginapan jg murah.wajib kesini,Krn trek hikingnya seruuu dan bagusss.",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2xoWlRXMXNSbk52VEVGRVVEQkROMU5hU1hGcVJWRRAB,True,pandang alam spektakuler indah in syaa allah aman u tua muda anak2 tmpt jajan warung dngn harga murah tmpt rendam air panas dngn view gunung lengkap dngn tmpt cuci toilet musholla bersih harga tiket muraahh makan inap jg murah wajib kesini krn trek hikingnya seruuu bagusss,2,2,Positive
Taman Wisata Alam Gn Papandayan,Juan Evander,5.0,sebulan lalu,"30.000 seorang, parkir luas, dua menara pandang, jalur Trekking tidak terlalu sulit. Ada ojek untuk naik/turun ke pos 7? Bunga bunga yang bagus",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25kRGNGWnNibTlvU0cxT2RUUXlTMGRvZUVSRFlsRRAB,True,30 000 parkir luas menara pandang jalur trekking sulit ojek turun pos 7 bunga bunga bagus,2,2,Positive
Taman Wisata Alam Gn Papandayan,Setyo Pratomo,5.0,sebulan lalu,Tempat parkiran Bus nya tidak memadai padahal wisata alamnya sangat hebat...,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25GTFZVRlVMVmxtVDFNMmNHaEhRV1JrTW14TVJXYxAB,True,parkir bus nya pada alam hebat,2,2,Positive
Taman Wisata Alam Gn Papandayan,Amanda Mayang,5.0,sebulan lalu,"Pengen balik lagi pokok nya, bagus, bagus dan bagus, harus kesini sih yg pecinta alam, bisa berendam air panas juga di dalem nya, semua pokoknya indah, MasyaAllah banget ciptaan nya Allah 😍😍😍😍",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT25ScVZrcFZTa05tVlU4emN6SnJiM010Y0VNeGJIYxAB,True,ken pokok nya bagus bagus bagus kesini cinta alam rendam air panas dalem nya pokok indah masyaallah cipta nya allah,2,2,Positive
Taman Wisata Alam Gn Papandayan,Ardie Sumardi,5.0,sebulan lalu,View nya keren,2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2taclZFNU9aMGxaVkY5WVMwTlpjelJ0UkdKcloyYxAB,True,view nya keren,2,2,Positive
Taman Wisata Alam Gn Papandayan,Arvi Rizky,5.0,sebulan lalu,"Kalo di kelolas swasta emang terkelola dengan baik semua fasilitasnya lengkap dan bersih, aman dari pungli sehingga nyaman",2026-08-13T08:31:32.966770+00:00,Ci9DQUlRQUNvZENodHljRjlvT2tWNU1qSjZRblJuVUc1eGNYUTNWM0pSYUdWa2EzYxAB,True,kelolas swasta emang kelola fasilitas lengkap bersih aman pungli nyaman,2,2,Positive
